geo_value,time_value,change_health,hospital_admit,doc_visits,ground_truth,ground_truth+1,change_health-1,hospital_admit-1,doc_visits-1
06075,2020-03-03,0.012793,0.193351,0.0,0.0,0.0,0.014948,0.190562,0.0
06077,2020-03-03,0.013295,0.1979663076923077,0.017996,0.0,0.0,0.014537,0.17915015384615382,0.028494
06079,2020-03-03,0.050472,0.1979663076923077,0.0,0.0,0.0,0.04839,0.17915015384615382,0.0
06081,2020-03-03,0.012617,0.204012,0.05595,1.0,0.0,0.019711,0.211273,0.167369
06083,2020-03-03,0.026937,0.1979663076923077,0.146257,0.0,0.0,0.030378,0.17915015384615382,0.0
06085,2020-03-03,0.010802,0.090838,0.095614,2.0,4.0,0.012789,0.091059,0.084612
06089,2020-03-03,0.044951,0.1979663076923077,0.0,0.0,0.0,0.045439,0.17915015384615382,0.0
06091,2020-03-03,0.265957,0.1979663076923077,0.11202643589743591,0.0,0.0,0.30303,0.17915015384615382,0.10891543589743588
06093,2020-03-03,0.087813,0.1979663076923077,0.11202643589743591,0.0,0.0,0.092578,0.17915015384615382,0.10891543589743588
06095,2020-03-03,0.066527,0.1979663076923077,0.062606,0.0,0.0,0.07651,0.17915015384615382,0.097895
06097,2020-03-03,0.028545,0.1979663076923077,0.0,0.0,0.0,0.031771,0.17915015384615382,0.0
06099,2020-03-03,0.014514,0.1979663076923077,0.0,0.0,0.0,0.015895,0.17915015384615382,0.0
06101,2020-03-03,0.074694,0.1979663076923077,1.353317,0.0,0.0,0.074554,0.17915015384615382,1.411649
06103,2020-03-03,0.083939,0.1979663076923077,0.11202643589743591,0.0,0.0,0.083484,0.17915015384615382,0.10891543589743588
06105,2020-03-03,0.162866,0.1979663076923077,0.11202643589743591,0.0,0.0,0.193798,0.17915015384615382,0.10891543589743588
06107,2020-03-03,0.033809,0.1979663076923077,0.0,0.0,0.0,0.037008,0.17915015384615382,0.0
06109,2020-03-03,0.083106,0.1979663076923077,0.11202643589743591,0.0,0.0,0.082887,0.17915015384615382,0.10891543589743588
